 ;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;Mots que je pourrai ajouter;;
102. ;bébé ;°kéŋ ;ì-kɛ́ɛ̄y / bìkɛ́ɛ̄y;m-wánɔ̀ / bwánɔ̀ ; ;kéŋ / bèkéŋ ;cjéé / bìcjéé ;kéɲ / ìkéɲ ; ; ;kéé ; ; ; ; ;;offrande;lɛ́nɛ̀ / belɛ́nɛ̀;
103. ;belle-famille ;°cíŋ ;ǹ-tsī / bə̀tsī;n-tsì / batsì;bɛ̀-cí ;cì / bòcì ;cìŋ / òcìŋ ;cìí / òcìí ;cǐ ;n-tsi / bɔtsi ;cǐ ; ; ; ; ;gyeli : B > H dans une CA (cf. belle-mère : n-tsí wà m-ùdã̂);apparaître;"líbɛla ; pámo";
104. ;belle-soeur ;°ɟàl ;ɲàlà / bə̀ɲàlà;;nɟɛ̀l / mìnɟɛ̀l; ;nɟjɛ̀l / mìnɟjɛ̀l ;ɲɛ̀l / òɲɛ̀l; ;ɲal / bɔɲal ;nɟɛ̀l; ; ; ; ;;stupidité;límà / belímà;
105. ;bile ;°cuŋ(Ò) ;ì-ŋɡūū / bì-ŋɡūū;; ;ì-cɔ́ŋ ; ; ;ncùùŋ ;nzuŋ ; ; ;*jónɡò ; ; ;;tailleur;nlɔ́lɛ̀ mí-nkɔ̀lɛ̀ / balɔ́lɛ̀ bá mí-nkɔ̀lɛ̀ ;
106. ;blanc 1 ;°púmV́ ;fùmə̀;m-pùlɛ́ / mimpùlɛ́;nápúú ; ;púmó ;fùmə̀ ;m-pùmàā ; ;púmó ;kfúmí ; ; ; ;;insulte;lelṵ̂ / malṵ̂;
107. ;blanc 2 ;°(N-)báŋa ;;;b̥a; ;mpáŋà / bìmpáŋà ; ; ; ;mpáŋá ; ; ; ; ;;maudire;lùà;
108. ;Blanc, européen ;°tánɡá ;ǹ-tāŋ / mìntāŋ;n-tàngànɛ̀ / mintàngànɛ̀;táɡá / mìtáɡá ;táŋ / mètáŋ ;ntáŋá / mìntáŋá ;táŋ / mìtáŋ ; ;ntanɡan ; ; ; ; ; ;;construire;lṵ́ɔ̰̀;
109. ;blesser ;°bɛ́bàlA ;báàlì;báwɛ;ɛ̀-bɛ̂w;(sí)bə̀b ;è-bɛ́blè ;bɛ̂w; ; ;lè-báblô ; ; ; ; ;;cheville;"lemàngɔ́lɔ́ / mamàngɔ́lɔ́ ; letsíndí (lé nkú) / matsíndí (má nkú)";
110. ;boire ;°ɲɔ̀àlÌ ;ɲòlì;nyùlɛ; ;ɲwɛ̀l ;è-ɲùl ;nɡùl ; ;ɲul ;lè-ɲû ;nwélì ;*nyó ; ; ;;voiture;màtúà / bamàtúà;
111. ;bois de chauffage ;°ɟóTà ;ŋ̀-ɟáà / bə̀ŋɟáà;yí / beyí;ɡótà / ìɡótà ; ;ɟɔ́rà / mèlɔ́rà ; ;ɡwōrā ; ;ɟɔ́rà; ; ; ; ;;admettre;mɛ̀mɔ;
113. ;boîte ;°ɡónɡà ;ŋ̀-ɡúŋɡà / màŋɡúŋɡà;; ;nɡúnɡà ;nɡʊ́ŋ / mìnɡʊ́ŋ ;nɡúnɡà / mə̀nɡúnɡà ; ;nɡunɡu / manɡunɡu ;lè-nɡʊ́ŋà; ; ; ; ;;lion;mgbɛ̀mgbɛ̀mɛ̀ / bemgbɛ̀mgbɛ̀mɛ̀;
114. ;bon ;°ɲùŋ(à) ;ɲɔ́ɔ̀ŋ;;ɛ̀-ɲù / mɛ̀ɲù ;ɲwàŋ ; ;ɲwà ;ɲùāŋ ;ɲiuŋ ; ; ; ; ; ;gyeli : 'good';loi;mpíndá / mampíndá;
115. ;bonne chose ;°bɛ̀Cà ;;;mbɛ̀sâ ; ;mbɩ̀à / mìmbɩ̀à ; ; ;mbʰa ;lè-mbɩ̀à; ; ;*benɡa (BC) ; ;;paiement;mpṵ̂ / mimpṵ̂;
116. ;bosse ;°(N-)dúŋÓ ;;;ɛ̀-d̥úú / mɛ̀d̥úú ;è-ntúŋɔ́ / mə̀ntúŋɔ́ ;è-ntúó / mèntúó ; ; ; ; ; ; ; ; ;;malaxer;myámɔ;
117. ;bouche ;°nùmbÌ ;ǹ-nòmbò / mìnnòmbò;nyùmbò / minyùmbò;nùb / mìnùb ;nùm / mènùm ;nùm / mìnùm ; ;nùmbì ;num / minum ;nʊ̀m;nə́mbì / bìnə́mbì; ;*dùmbù (AB) ; ;;emballage, enveloppe;mbágò / mimbágò;
118. ;boucle d'oreille ;°pùnɡá ;ì-və̀ŋɡā / bìvə̀ŋɡā;mbùngá / bembùngá;à-vùnɡá / màvùnɡá ;mpùnɡá ;mpùŋà ;vùnɡá ; ;mbʰunɡa / bimbʰunɡa ; ; ; ; ; ;;paquet;mbwàmbɔ̀ / mimbwàmbɔ̀;
119. ;bouclier ;°(N-)ɡùbÒ ;;;ɡùù / bɛ̀ɡùù ;nkùbɔ̀ / bə̀nkùbɔ̀ ;nkùò / ònkùò ;nkùwò / mə̀nkùwò; ; ;nkùbò ; ; ;*ɡùbà (ABCDJ); ;gyeli : 'protection';noix de coco;mbàngá lé-lɛ́ndɛ́ / mimbàngá mí má-lɛ́ndɛ́;
120. ;boue ;°bɔ̀dɔ̀ ;ì-bwɔ̀ɾə̀ʔ / bìbwɔ̀ɾə̀ʔ;;bɔ̀tɔ̀ / ìbɔ̀tɔ̀ ; ; ; ;ɓɔ̀ɔ̄; ;bɔ́rɔ́;pɔ̀tɔ̀pɔ́tɔ̀; ; ; ;;padouk;mbèlè / mimbèlè;
121. ;bouger ;°kùbàlà ;kfìyà;kfùbala;ɛ̀-kù ;kùbèlà ;è-kùblà ; ;à-kùbɔ̀ ;pfuala ;lè-kùblà ; ; ; ; ;;belle-fille;mbɔ̀mbɔ́ / mimbɔ̀mbɔ́;
122. ;bouillir 1 ;°ɡúlÌ ;ɡvúŋɡə̀lə̀;;ɛ̀-ɥîl ;wûl ;è-ɡûl ;wù ;à-wūlì ; ;lè-ɡwîl ; ; ; ; ;;que (COMP);nâ;
123. ;bouillir 2 ;°tɔ̀KÌ ;tòɡè (TR);tɔ̀gɛ (TR);ɛ̀-tèk ; ; ; ;à-tɔ̀ɡì ;twɔɡ ;lè-tœ̀ʔ ; ; ;*tòk (ABCH); ;;coller, être collant;náàtà nà;
124. ;bouillir 3 ;°tɔ̀Kà ;twàʔ (ITR);tɔ̀à (ITR);ɛ̀-twâ ; ;è-twàʔ ;cwààɡ ; ;tuaˤ ; ; ; ;*tòk (ABCH); ;;rat palmiste;námínsɔ̀gɛ̀ / banámínsɔ̀gɛ̀;
125. ;braise ;°â ;mā;;d-áà / máà ;dá (lé kwàrà);d-â / mâ ;d-á / má ;ɗ-â ;d-asiəˤ / ma ma siəˤ ;d-á ; ;*kádà ; ; ;;droit;nátḭ̂;
126. ;branche 1 ;°lɔ̂b;;; ;lɔ̂b / mèlɔ̂b ; ;lôw / mìlôw ; ;n-loo / minloo ;lɔ́ɔ̀;lɔ̀ / bìlɔ̀;*tábɩ̀ ; ; ;;aubergine;lenjwâ̰ / manjwâ̰;
127. ;branche 2 ;°lâŋ(V̀) ;ǹ-láà / mìnláà;n-làwɔ́ / minlàwɔ́;lɛ̂ŋ / mìlɛ̂ŋ ; ; ;lwóŋ / mìlwóŋ ;lāàŋ ; ; ; ; ; ; ;Possible de faire un cognat avec swo et gyeli;ligne (liane);nká / minká;
128. ;briller 1 ;°kàs ;;;ɛ̀-kàs ; ;è-kàh ;kòs ; ; ;lè-kàh ; ; ; ; ;;infertile;nkfùndɛ́ / minkfùndɛ́;
129. ;briller 2 ;°pànà ;pànè;pàno; ; ;è-pàn ;fààn ;à-pànɔ̀ ;panaa ; ; ; ; ; ;;montre;nkɔ́lɔ̀ / minkɔ́lɔ̀;
130. ;briller 3 ;°(N-)ɡɛ̀nɡ_;;;ɛ̀-g̥ɛ́nɡbà ; ;è-ncjɛ̀nwà ;nkə̀nə̀wà; ; ;lè-nkjɛ̀nbà; ; ; ; ;;anus;nlá̰ / minlá̰;
131. ;brindille ;°kwa ;;;ɡwáɡwà / ìɡwáɡwà ; ;nkpânkpà / bìnkpânkpà ; ; ; ;bì-nkwâŋàá; ; ; ; ;;seau;nlùngá / minlùngá;
132. ;brouillard ;°ɟùndá ;;;ì-ɡùd ;ɟùndɔ́ ;ɟwìné / bìɟwìné ;ɡúndà ; ; ;ɟwìnó ; ; ; ; ;;personne sourde;nɔ́ɔ́ / banɔ́ɔ́;
133. ;bruit ;°dǔŋ ;ì-dvɔ̄ŋ / bìdvɔ̄ŋ;dvṵ̌/ bedvṵ̌; ;dùŋ / bèdùŋ ;dùú / bìdùú ; ;dùūŋ ; ;dùú ; ; ; ; ;;bec;nsɔ̰̂ / minsɔ̰̂;
134. ;brûler ;°díKà ;dzə́ɡə̀;jíyɛ ;ɛ̀-dík ; ;è-dîʔ ;ɟíɡàl ;à-dīɡɔ̀ ;dziəˤ ;lè-díɡô ;dzíɡɟà ; ; ; ;;pénis;nsámbò / minsámbò;
135. ;buffle ;°(N-)ɟòmá ;ì-ʒùmə̄ / bìʒùmə̄;;zwóm / ìzwóm ;ncwɔ̀m / bèncwɔ̀m ;nzòmó / bìnzòmó ;ʒwàmə́ / ìʒwàmə́;ncòmō ; ;nswǒm ; ; ; ;°-jòmá ;;neveu/nièce;ntá / mintá;
136. ;cacher 1 ;°sɔ̀lÌ ;ʃòlì;sɔ̀lɛ;ɛ̀-sèl ; ;è-sòl ;ʃwèl ;à-ʃɔ̀lì;swɛl ;lè-sœ̀l ;ʃwělì ; ; ; ;;taile, hauteur, largeur;ntɛ́ / mintɛ́;
137. ;cacher 2 ;°sɔ̀b ;;swàwɔ;ɛ̀-sɔ̀w ;ʃwàb ;è-swàb ;ʃwààw ; ; ; ; ; ; ; ;;menacer;ntɛ́gɛlɛ̀;
138. ;cachette ;°sɔ̌ ;ʃùwō;n-sɔ̀lá / minsɔ̀lá;ɛ̀-sɔ̌ / mɛ̀sɔ̌ ; ;è-sǒ / mèsǒ ;ʃwòó / ìʃwòó ; ; ;lè-sǒ ; ; ; ; ;;ride;lentɛ̀mbwà / mantɛ̀mbwà;
139. ;cadavre ;°múŋV̀ ;;m-bìmbó / mimbìmbó;múù / mìmúù  ;múŋə̀ / mèmúŋə̀ ;múù / mìmúù ; ;mûŋ ; ;múù ; ; ; ; ;;couvercle;"ntfùgà / bentfùgà ; pfùngà / bepfùngà";
140. ;cadeau ;°dâs ;dás / bə̀dás;; ;d-âz ;d-âh / mâh ;ɟás / ìɟás ; ; ;dâh ; ; ; ; ;;caractère, personnalité;ntùngù / mintùngù;
141. ;cafard ;°pɛ́nɟ(Ì) ;pə́pə́ŋɟì / bə̀pə́pə́ŋɟì;pɛ́ɛ́pɛ́ɛ̀ / bapɛ́ɛ́pɛ́ɛ̀;nàpéz / bɛ̀nápéz ;fînɟ / bòfînɟ ;pêh / òpêh ;fɛ̀ɛ̀nʒ / òfɛ̀ɛ̀nʒ; ;peepee / bɔpeepee ; ; ;*pénjù ; ; ;;pauvreté;nyàmɛ̀ / benyàmɛ̀;
142. ;calao longibande ;°kwánɡ ;;;kwáɡ / ìkwáɡ ; ;kpáŋ / bìkpáŋ ; ; ; ;kpáŋ ; ; ; ; ;Possible de faire un cognat avec swo et gyeli;douleur;manyánɔ;
143. ;calebasse ;°bélà ;;; ;bâl / mòmpâl ;bélè / mèmpélè ;bwálá / ìbwálá ; ;bilɛ / mbilɛ ; ; ; ; ; ;;faire/avoir mal;nyàno;
144. ;calme ;°mjǒŋ ;mìɔ̄ŋ;; ;mjòŋ ;mjǒŋ ; ; ; ;mjòóŋ ; ; ; ; ;;revenir ('return');nyè;
145. ;caméléon ;°Nɡólì  ;ɡúŋɡùlù / bə̀ɡúŋɡùlù;dyúngúlɛ̀ / bedyúngúlɛ̀;ɡóɡól / ìɡóɡól ;ɟúŋnkûl / bòɟúŋ nkûl ;ɟʊ́nkʊ̂l / bìɟʊ́n kʊ̂l ;ɡúnkwîl / ìɡúnkwîl ;ɗónkólī ;ɟunɡul / biɟunɡul ; ;ǹ-kwònkùlì / bìn-kwònkùlì ; ;*kónɡòdí (C) ; ;;tôt;nywã́ĩ̀;
146. ;campement ;°pɛ̀T ;;;pɛ̀t / ìpɛ̀t; ;pɛ̀r / bìpɛ̀r ; ; ; ;pɛ̀r; ; ; ; ;;et, aussi;ndáà;
147. ;canard 1 ;°sÓKÓ ;;;sɔ́kɔ́ɔ́  / ìsɔ́k!ɔ́ɔ́  ; ; ; ;sōzō ; ;sɔ̀ɡɔ́ ;sòɡó / bìsòɡó ; ; ; ;;clitoris;ndúá / bendúá;
148. ;canard 2 ;°lɔ̀lV̀ ;ì-lwàlè / bìlwàlè;lɔ̀lɔ̀ / belɔ̀lɔ̀; ;lwə̀lɔ̀ / bòlwə̀lɔ̀ ;lwàl / bìlwàl ;lwàl / ìlwàl ; ;lɔlɔ / bilɔlɔ ; ; ; ; ; ;;toit;ndùwɔ́ / mindùwɔ́;
149. ;canne ;°súmbV̀ ;;; ;ʃúmɔ̀ / mèʃúmɔ̀ ; ; ;ʃūmbì ;m-pfumbi / mimpfumbi ; ; ; ; ; ;;souffrance;ndvùɔ́ / bendvùɔ́ ~ tfúgà / betfúgà;
150. ;canne à pêche ;°kpáKá ;;;n-ɡàkà / mìnɡàkà ;páɡa ; ;kpáɡə́sá / ìkpáɡə́sá; ; ;n-kpáɡá ; ; ; ; ;;danse;ndzà̰ / mandzà̰;
151. ;canne à sucre ;°(N-)ɡòKá ;ŋ̀-ɡwòʔō / màŋɡwòʔō ~ bìŋɡwòʔō;ngùɔ́ / bengùɔ́;g̥wǎ / mɛ̀g̥wǎ;nkwɔ̀ɡ / mònkwɔ̀ɡ ;nkòʔó / nkòʔó ;nkwàɡé / ìnkwàɡə́ ; ;nɡwəˤ / binɡwəˤ ;nkwoʔó ; ; ;*kʊ̀ɡʊ́, *kʊ̀ʊ̀ɡó (ABC); ;;garde (-corps);ndzìlì / bandzìlì;
152. ;canon ;°bèmbV̀ ;;;mbèb / mìmbèb  ; ;mbɩ̀m / mìmbɩ̀m ; ;mbèmbè ; ; ; ; ; ; ;;coude;ndzílí yá m-bɔ̂ / bendzílí má-bɔ̂;
153. ;caoutchouc ;°dàmbà ;ǹ-də̀mbà / mìndə̀mbà;ntàmbɛ̀ / bantàmbɛ̀;n-dàm / mìndàm ;n-dàmbà ;n-dàmà / mìndàmà ;ntàmbɛ̀ / òntàmbɛ̀; ;n-dʰambi / mandʰambi ;n-dàmà ; ; ; ; ;;larme;lendzólɛ̀ / mandzólɛ̀;
154. ;carquois ;°pɔ̀pÍ ;;;pɔ̌p / ìpɔ̌p ; ;pɔ̌b / mìpɔ̌b ; ;pàbī ; ;pɔ̌b; ; ; ; ;;tomate;ngṵ̀ɔ̰̀ / bengṵ̀ɔ̰̀;
155. ;carrefour ;°màn ;m̀-mánə̀;mânù; ;màn / mə̀màn ;màn / mèmàn ;mààn / mə̀mààn; ;mɛɛ ;bè-màn ; ; ; ; ;;rareté;ngàmbàlà / mangàmbàlà;
156. ;casser ;°búKà ;búlì;bvúɔ̀;ɛ̀-bwâ ;búɡ ;è-búʔò ;búɡə̀ ;à-būɡɔ̀ ;bu ;lè-búɡô ;bù ; ; ; ;;bracelet;ngɔ́kɔ̀bɛ́ / bengɔ́kɔ̀bɛ́;
157. ;ceinture ;°kàndá ;kàndē / bə̀kàndē;;káná / ìkáná ; ;kàná / òkàná ;kàndá / òkàndá ;kàndā ; ;kàná ; ;*kándà ; ; ;;citron;ngòmbáà / bangòmbáà;
158. ;célibataire ;°kɔ̀ ;ŋ̀-kwò / mìŋkwò;;kɔ̀ / bɛ̀kɔ̀ ; ;kò / òkò ; ;kɔ̀ ;n-kwɔ (munuŋ) / bɔnkwɔ bɔ bunuŋ ;kò ; ; ; ; ;;sucre (de canne);ngùɔ́ / bengùɔ́;
159. ;cendre 1 ;°sùí ;;;ɛ̀-ʃíí / mɛ̀ʃíí ; ;è-swìí / mèswìí ; ;mɛ̀-sūì; ;mè-swìí ; ; ;*cubi (A) ; ;;orage;ngvṵ́ɔ̰̀ / bangvṵ́ɔ̰̀;
160. ;cendre 2 ;°pì ;;be-pfùyá; ;fì / bèfì ; ;fìî / ìfìî ; ;pfii / bipfii ; ; ; ; ; ;;timide;ngvúú / bengvúú;
161. ;cent ;°tɛ̀T(ì) ;ǹ-tə̀ɾə̀ / mìntə̀ɾə̀;; ;ntɛ̀d ;n-tèr / mìn-tèr ;tə̀d / mìtə̀d; ; ;n-tèr ; ; ; ; ;;danger(eux);ngwámé;
162. ;céphalophe à bande dorsale ;°cénV́ ;kə́nə̀ / màkə́nə̀;le-kénó / makénó;ɛ̀-tjén / mɛ̀tjén ; ;è-céné / mècéné ; ; ; ;lè-cjén ; ; ; ;°cíbò ;;lumière;ngyùlè / mingyùlè;
163. ;céphalophe à dos jaune ;°ɟɛ̀má ;ɟə̀mə̄ / màɟə̀mə̄;;ɛ̀-ɟǎm / mɛ̀ɟǎm ; ;è-djɛ̌m / mèdjɛ̌m ; ;à-ɟɛ̀mɔ̄; ;lè-ɟjɛ́m; ; ; ;(°-jìbò) ;;patte;lepà / mapà;
164. ;céphalophe bleu ; ;;;kɥèè / ìkɥèè ; ;cwìà / bìcwìà ;cɛ̀ / ìcɛ̀; ;kɥaŋ / bikɥaŋ ;cwìà ; ; ; ; ;;grandir (plante);pà’à;
165. ;céphalophe de Peters ;°bìndí ;;;b̥ǐd / bɛ̀b̥ǐd ; ;mpǐn / òmpǐn ; ;mpìndī ; ;mpǐn ; ; ;*bìndí (A) ;°-mbìnde ;;arrivée;mapámó;
166. ;cérémonie, fête 1 ;°bònɡV̀ ;búʔ / màbúʔ;;ɛ̀-bjɔ̀ŋ / mɛ̀bjɔ̀ŋ ; ;è-bʊ̂ʔ / mèbʊ̂ʔ ; ;ɓōɡɔ̀ ; ;lè-bʊ̂ʔ ; ; ; ; ;;récolter tubercules;"pfùmbɛ ; tìnɔ";
167. ;cérémonie, fête 2 ;°(N-)ɟànɡÒ ;;; ;ncɔ̀ŋ / mə̀ncɔ̀ŋ;nzɔ̀ɔ̀ / mènzɔ̀ɔ̀  ;zàŋ / mə̀zàŋ; ;nzɔŋ / manzɔŋ ;nsɔ̀ɔ̀; ; ;*jánɡ (ABMR) ; ;;papillon;píìpíì / bapíìpíì;
168. ;chair ;°púndà ;;;pûd / ìpûd ; ;púnò / bìpúnò ;fə́ndə̀ / ìfə́ndə̀;pùndɔ̀ ; ;púnò ; ; ; ; ;;dernier, tard;písɛ̀ (adv.);
169. ;chair, muscle ;°sòn ;ǹ-ʃùnù / mìnʃùnù;n-sùnɛ́ / minsùnɛ́; ;ʃùn / mèʃùn ;sʊ̀n / mìsʊ̀n ;ʃùùn / mìʃùùn ; ;n-sun / minsun ;sʊ̌n ; ;*cʊ̀nà (ADS) ; ; ;;punir;pɔ́ndɛsɛ;
170. ;chambre ;°tɔ̂ŋ ;;;tɔ̂ŋ / ìtɔ̂ŋ; ;ntɔ́ɔ̀ / mèntɔ́ɔ̀ ; ; ; ;ntɔ́ɔ̀; ; ; ; ;;polir;púndi;
171. ;champignon ;°ɟɔ̌ ;ì-yɛ̀ / bìyɛ̀;yɛ́ / beyɛ́;ɡɔ̌ / ìɡɔ̌ ;ɟwə̀ / bèɟwə̀ ; ;ɡwòó / ìɡwòó ;ɡwɔ̌ ; ; ;jə́ / bə̀mə́ìlə̀; ; ; ;Possible de faire un cognat entre swo et gyeli;bouteille;púsí / bepúsí;
172. ;changer 1 ;°sV́là ;;;ɛ̀-swólà ; ; ;ʃwólà; ; ;lè-sjɛ́ɛ́lâ ; ; ; ; ;;raison;púù;
173. ;changer 2 ;°céndà ;kíndà;síndya; ;cênd ;è-cénè ;cɛ́nd; ; ;lè-cénê ; ; ; ; ;;chapeau;pùúlì / bepùúlì;
174. ;chanson ;°ɟémbà ;ì-ɟéì / bìɟéì;gyà / begyà;ɟeb / mɛɟeb ; ;ɟɩ̂m / mèɟémè ; ; ;ɟǎ / biɟǎ ;ɟɩ̂m; ;*jɩ́mb; ; ;;papier;pyàgá / mapyàgá;
175. ;chant du coq ;°kɔ́Kà ;kwáʔàlə̀;;ɛ̀-kɔ́à / mɛ̀kɔ́à ;kwâɡ ;è-kwâʔ ; ;kɔ̄ɡɔ̀ ;kwaˤ ; ; ;*kóokʊd ; ; ;;jeu;masâ;
176. ;chanter ;°ɟèmbà ;ɟéì;dyà ; ; ;è-ɟjɛ̀ɛ̀ ;ɟámb ;à-ɟēmbɔ̄ ;ɡìɛ̀ ;lè-ɟɛ̀ɛ̀;ɟɛ̀;*jɩ́mb; ; ;;coq;sá̰ wà kfúbɔ̀ / basá̰ bá kfúbɔ̀;
177. ;chanvre ;°ɟàmbà ;;;ɲàbà / ìɲàbà ; ;ɟàmà / ɟàmà ; ;ɟàmà ; ; ; ; ; ; ;;verre de terre;sá / basá;
178. ;charbon ;°(N-)bílV̀ ;fyìɾə̀ʔ;le-gyâ / magyâ;ɛ̀-b̥íl / mɛ̀b̥íl ;mpíl / mə̀mpíl ;è-mpíl / mèmpíl ; ;à-mpīlī ;mvulsiəˤ / bɔmvul siəˤ ; ;ǹ-kfə́lá / bìnkfə́lá; ; ; ;;prune/prunier;;
179. ;charɡe ;°(N-)bápÌ ;;;b̥ɛ̂p ; ; ; ;mbàbī ;mbʰàb / mambʰàb ; ; ; ; ; ;;cabane;sà / besà;
180. ;charger ;°káŋàlà ;kàŋɡə̀lə̀;;ɛ̀-káŋàl ;kálò ;è-kààlè ; ; ;kaŋla ;lè-kààlò ; ; ; ; ;;fausse couche;sàsàmbɛ́ (yá mwánɔ̀) / besàsàmbɛ́;
181. ;chasse 1 ;°ɡwà ;;;wàg̥ɛ̂l; ;ɡbà / bìɡbà ; ; ; ;ɡwǎ ; ; ; ; ;;canoë;lesɛ̰̀ / masɛ̰̀;
182. ;chasse 2 ;°sǒmb ;ǹ-ʃùmbə̄ / mìnʃùmbə̄;n-sùmbɔ́ / minsùmbɔ́; ;ʃwòmb ;sʊ̌m / mìsʊ̌m ; ; ; ;n-sʊ̌m; ; ; ; ;;dessous;sí;
183. ;chasse au filet ;°bjémà ;bímə̀;bwímɔ̀ / bebwímɔ̀;bjêm / mɛ̀b̥jêm ; ;bjémè / bìbjémè ;bjâm / mə̀bjâm;ɓjēmɔ̀ ; ; ; ; ;(*búɩm) (A) ; ;;babouche (emprunt);sílífàzì / basílífàzì;
184. ;chasser 1 ;°sɔ̀mbà ;ʃùmbə̀;;ɛ̀-sɔ̀ ;ʃwò ;è-sò ; ; ;swambɔ ;lè-sò ; ; ; ; ;;chat;síngì / besíngì;
185. ;chasser 2 ;°ɡúnɡ(ì) ;;; ;wíìnɡ ; ;wíínɡ ;à-wûŋ ; ; ; ;*bɩ̀nɡ; ; ;;faire peur;sísɛlɛ;
186. ;chasser 3 ;°ɡwà ;;;wà (ɛ̀g̥ɥɛ̂l);wà ;è-ɡbà ; ; ; ; ; ; ; ; ;;être heureux;sìsɔ;
187. ;chat doré ;°bjê ;;;ɛ̀-bjɛ̂ ; ;è-bjê / mèbjê ; ; ; ;lè-bwê ; ; ; ;°-bwà, °bòa ;;apparition;sìsùù / besìsùù;
188. ;chat sauvage ;°(N-)bà ;m̀-bà / bə̀mbà;; ;mpà / bə̀mpà ;mpà / òmpà ;mpà / òmpà ;mpà ;mbʰəˤ / bɔmbʰəˤ ;mpà ;m̀-pà ; ; ; ;;scier;síyɛ;
189. ;chatouiller ;°ɲùKàlà ;ɲwàʔàlə̀;;mɛ̀-ɲùdlà ; ;è-nwàʔrè ;ɲwàɡə̀lə̀; ;ɲɥamlɛ ; ; ; ; ; ;gyeli : pas de homonyme avec 'gratter';scie;sɔ̀ / besɔ̀;
190. ;chaud ;°ɟúnɡÀ ;ɡvúŋə̀ / màɡvúŋə̀;le-dyṵ̂ / madyṵ̂;ɛ̀-ɡwô / mɛ̀ɡwô ;ɟúŋə̀ ;è-ɟúò ;àɡóɡwô;à-ɡwûŋ ;ɡwəˤ (bvaŋ);ɟúó ;ɡvô  ; ; ; ;"gyeli : chaleur du soleil/fièvre ; swo : soleil ou feu (pas fièvre)";semaine;sɔ́ndɔ̀ / basɔ́ndɔ̀;
191. ;chaussure ;°(N-)ɡòP ;ŋɡùbù / màŋɡùbù;kùndá / bekùndá; ;lè-nkwòb / mə̀nkwòb ;nɡʊ̀b / ònɡʊ̀b ;nɡùb / mə̀nɡùb ; ; ;nɡʊ̀b ; ; ; ; ;Emprunt ? Mot récent ou pas ?;joie;masɔ̀sí;
192. ;chauve-souris ;°ɡùp ;ì-vùbù / bìvùbù;wùwù / bewùwù;wùp / ìwùp ; ; ;wùf / ìwùf ; ;vub / bivub ; ; ; ; ; ;gyeli : petit chauve-souris;savon;sɔ́bì / besɔ́bì;
193. ;chauve-souris sp 1 ;°(N-)ɟámV̀ ;;n-gyɛ́mɔ̀ / mingyɛ́mɔ̀; ;nɟə̀m / mènɟə̀m ;nɟjɛ̂m / mìnɟjɛ̂m ;n-ɟâm / mìnɟâm ; ;n-ɟama / minɟama ;n-ɟjɛ̂m;ǹ-ɡámə̀;*dɩ́mà; ; ;gyeli : chauve-souris frugivore;doute;lesúnɔ́ / masúnɔ́;
194. ;chauve-souris sp 2 ;°(N-)ɡù ;ŋ̀-ɡvù / bə̀ŋɡvù;;g̥ù / bɛ̀g̥ù;nkù / bènkù ; ;nkù / ìnkù ; ; ; ; ; ; ; ;;gaspiller;sùwɔ;
195. ;chauve-souris sp 3 ;°bàntɔ́ndá ;;;bàd̥ɔ́dɔ́ / ìbàd̥ɔ́dɔ́ ; ;bàntɔ́ná / bìbàntɔ́ná ; ; ; ;bàntɔ́ná; ; ; ; ;;raconter histoire;tá̰à̰;
196. ;chef ;°ɟùì ;ŋ̀-ɡwíì / bə̀ɡwíì;;nɡɥíì / mìnɡɥíì ;nɟwî ;n-ɟǿø̀  / òɟǿø̀ ;n-ɟû / mìnɟû ; ; ; ; ; ; ; ;;début;matálá;
197. ;chef de famille ;°kúmá ;ŋ̀-kfúŋkfúmà / mìŋkfúŋkfúmà;kfúmá / bakfúmá;kúkúmá / bɛ̀kúkúmá ;kúkúmá / mèkúkúmá ; ; ; ; ;kúkúmá ; ; ; ; ;;maintenant;tɛ̂;
198. ;chemin ;°(N-)ɟèV́ ;zē / màzē;ndzǐ / mandzǐ;zě / mɛ̀zě ;ncì / mèncì ;nzɩ̌ / mènzɩ̌ ;ʒìí / mə̀ʒìí;ncě ;nzi (mimpaɡu) / manzi mimpaɡu ;nsɩ̌ ;ǹ-ʒí / mə̀nʒí;*jɩ̀dá; ; ;;boîter;tɛ̰̂;
199. ;chenille ;°kòŋ ;ŋ̀-kǔŋ / mìŋkǔŋ;;kòŋ / mìkòŋ ;kùŋ / mèkùŋ ;kʊ̀ʊ́ / mìkʊ̀ʊ́ ; ;kòōŋ ;n-kuŋ / minkuŋ ;kʊ̀ʊ̀; ; ;*ɡʊ̀nɡʊ́ (ACJR); ;;fatigue;letɛ́’ɛ́ / matɛ́’ɛ́;
200. ;chercher ;°sáŋ(à) ;sɔ̀ŋ;;ɛ̀-sáà ;sáŋ ;è-sáà ;sô;à-sâŋ ; ;lè-sáà ; ; ; ; ;;coucher du soleil;tɛ̀mbɔwɔ;
201. ;cheval 1 ;°kàbàlá ;ì-kàbə́lá / bìkàbə́lá;kábálá / bekábálá; ;kàbàlá / bèkàbàlá ;kàbàlá / bìkàbàlá ;káwə̀lí / ìkáwə̀lí; ; ; ; ; ; ; ;;pincer;tfùdɔ;
